"","class","cap_shape","cap_color","bruises","gill_spacing","gill_color","stalk_shape","veil_color","population","habitat"
"1","1","convex","brown","bruises","close","black","enlarging","white","scattered","urban"
"2","0","convex","yellow","bruises","close","black","enlarging","white","numerous","grasses"
"3","0","bell","white","bruises","close","brown","enlarging","white","numerous","meadows"
"4","1","convex","white","bruises","close","brown","enlarging","white","scattered","urban"
"5","0","convex","grey","no bruises","crowded","black","tapering","white","abundant","grasses"
"6","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","grasses"
"7","0","bell","white","bruises","close","grey","enlarging","white","numerous","meadows"
"8","0","bell","white","bruises","close","brown","enlarging","white","scattered","meadows"
"9","1","convex","white","bruises","close","pink","enlarging","white","several","grasses"
"10","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"11","0","convex","yellow","bruises","close","grey","enlarging","white","numerous","grasses"
"12","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","meadows"
"13","0","bell","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"14","1","convex","white","bruises","close","black","enlarging","white","several","urban"
"15","0","convex","brown","no bruises","crowded","brown","tapering","white","abundant","grasses"
"16","0","sunken","grey","no bruises","close","black","enlarging","white","solitary","urban"
"17","0","flat","white","no bruises","crowded","black","tapering","white","abundant","grasses"
"18","1","convex","brown","bruises","close","brown","enlarging","white","scattered","grasses"
"19","1","convex","white","bruises","close","brown","enlarging","white","scattered","urban"
"20","1","convex","brown","bruises","close","black","enlarging","white","scattered","urban"
"21","0","bell","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"22","1","convex","brown","bruises","close","brown","enlarging","white","several","grasses"
"23","0","bell","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"24","0","bell","white","bruises","close","white","enlarging","white","numerous","meadows"
"25","0","bell","white","bruises","close","grey","enlarging","white","scattered","meadows"
"26","1","flat","white","bruises","close","brown","enlarging","white","several","grasses"
"27","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"28","0","convex","white","bruises","close","white","enlarging","white","numerous","meadows"
"29","0","flat","brown","no bruises","close","black","enlarging","white","solitary","urban"
"30","0","convex","yellow","bruises","crowded","brown","tapering","white","several","wood"
"31","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"32","1","convex","white","bruises","close","black","enlarging","white","scattered","urban"
"33","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"34","0","convex","brown","bruises","close","pink","enlarging","white","solitary","paths"
"35","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","meadows"
"36","0","convex","yellow","bruises","crowded","white","tapering","white","several","wood"
"37","0","sunken","grey","no bruises","close","black","enlarging","white","several","urban"
"38","1","convex","brown","bruises","close","white","enlarging","white","scattered","urban"
"39","0","convex","yellow","bruises","crowded","pink","tapering","white","several","wood"
"40","0","bell","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"41","0","bell","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"42","0","convex","yellow","bruises","close","brown","enlarging","white","solitary","paths"
"43","0","convex","brown","no bruises","close","grey","enlarging","white","solitary","urban"
"44","1","convex","white","bruises","close","pink","enlarging","white","several","grasses"
"45","0","convex","yellow","bruises","close","white","enlarging","white","numerous","meadows"
"46","0","convex","white","bruises","close","brown","enlarging","white","numerous","grasses"
"47","0","convex","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"48","0","convex","white","bruises","close","white","enlarging","white","numerous","meadows"
"49","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","paths"
"50","0","flat","yellow","bruises","close","white","enlarging","white","scattered","paths"
"51","0","convex","brown","bruises","close","white","enlarging","white","scattered","grasses"
"52","0","convex","white","bruises","close","black","enlarging","white","scattered","grasses"
"53","0","bell","white","bruises","close","black","enlarging","white","numerous","meadows"
"54","1","convex","brown","bruises","close","black","enlarging","white","several","urban"
"55","1","convex","white","bruises","close","black","enlarging","white","several","urban"
"56","0","bell","yellow","bruises","close","white","enlarging","white","scattered","meadows"
"57","0","flat","grey","no bruises","crowded","brown","tapering","white","abundant","grasses"
"58","0","bell","white","bruises","close","white","enlarging","white","numerous","grasses"
"59","0","convex","yellow","bruises","close","black","enlarging","white","numerous","grasses"
"60","0","convex","brown","bruises","close","pink","enlarging","white","solitary","paths"
"61","0","sunken","grey","no bruises","close","black","enlarging","white","several","urban"
"62","0","bell","yellow","bruises","close","black","enlarging","white","scattered","meadows"
"63","0","bell","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"64","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"65","0","bell","white","bruises","close","brown","enlarging","white","scattered","grasses"
"66","0","flat","brown","no bruises","crowded","black","tapering","white","abundant","grasses"
"67","0","convex","white","bruises","close","brown","enlarging","white","scattered","grasses"
"68","0","flat","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"69","0","convex","yellow","bruises","close","white","enlarging","white","numerous","grasses"
"70","0","convex","grey","no bruises","close","pink","enlarging","white","several","urban"
"71","0","flat","yellow","bruises","crowded","pink","tapering","white","several","wood"
"72","0","bell","white","bruises","close","grey","enlarging","white","scattered","meadows"
"73","0","flat","yellow","bruises","crowded","white","tapering","white","several","wood"
"74","0","convex","brown","bruises","close","pink","enlarging","white","scattered","paths"
"75","0","bell","yellow","bruises","close","black","enlarging","white","scattered","grasses"
"76","0","flat","yellow","bruises","crowded","pink","tapering","white","several","wood"
"77","0","convex","white","bruises","crowded","brown","tapering","white","several","wood"
"78","0","flat","brown","bruises","close","pink","enlarging","white","solitary","paths"
"79","1","convex","brown","bruises","close","white","enlarging","white","several","urban"
"80","0","flat","brown","bruises","close","brown","enlarging","white","solitary","grasses"
"81","0","convex","brown","no bruises","crowded","black","tapering","white","scattered","grasses"
"82","1","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"83","0","flat","grey","no bruises","close","brown","enlarging","white","solitary","urban"
"84","0","convex","grey","no bruises","crowded","brown","tapering","white","scattered","grasses"
"85","0","convex","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"86","0","convex","brown","no bruises","crowded","black","tapering","white","scattered","grasses"
"87","0","bell","white","bruises","close","white","enlarging","white","scattered","grasses"
"88","0","convex","white","bruises","close","brown","enlarging","white","scattered","grasses"
"89","0","flat","brown","bruises","close","white","enlarging","white","solitary","grasses"
"90","0","sunken","brown","no bruises","close","brown","enlarging","white","several","urban"
"91","0","convex","brown","no bruises","close","brown","enlarging","white","solitary","urban"
"92","0","bell","white","bruises","close","black","enlarging","white","scattered","grasses"
"93","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","grasses"
"94","0","convex","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"95","0","convex","brown","no bruises","crowded","brown","tapering","white","abundant","grasses"
"96","0","convex","white","bruises","close","grey","enlarging","white","scattered","grasses"
"97","0","flat","brown","bruises","close","pink","enlarging","white","scattered","grasses"
"98","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","grasses"
"99","0","bell","white","bruises","close","grey","enlarging","white","scattered","grasses"
"100","0","convex","white","bruises","close","grey","enlarging","white","scattered","grasses"
"101","0","convex","brown","no bruises","crowded","pink","tapering","white","scattered","grasses"
"102","0","bell","yellow","bruises","close","brown","enlarging","white","numerous","grasses"
"103","0","flat","yellow","bruises","close","white","enlarging","white","scattered","grasses"
"104","0","convex","yellow","bruises","close","brown","enlarging","white","solitary","paths"
"105","0","bell","white","bruises","close","grey","enlarging","white","numerous","grasses"
"106","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"107","0","convex","yellow","bruises","close","white","enlarging","white","solitary","grasses"
"108","0","bell","white","bruises","close","brown","enlarging","white","scattered","meadows"
"109","0","bell","white","bruises","close","grey","enlarging","white","scattered","meadows"
"110","0","convex","yellow","bruises","close","black","enlarging","white","numerous","meadows"
"111","0","convex","yellow","bruises","close","white","enlarging","white","numerous","grasses"
"112","0","sunken","grey","no bruises","close","grey","enlarging","white","solitary","urban"
"113","0","convex","white","bruises","crowded","white","tapering","white","several","wood"
"114","0","convex","yellow","bruises","close","brown","enlarging","white","numerous","meadows"
"115","1","convex","white","bruises","close","brown","enlarging","white","several","urban"
"116","0","convex","yellow","bruises","close","pink","enlarging","white","scattered","grasses"
"117","0","sunken","grey","no bruises","close","pink","enlarging","white","solitary","urban"
"118","0","convex","yellow","bruises","close","white","enlarging","white","solitary","grasses"
"119","0","convex","yellow","bruises","crowded","pink","tapering","white","several","wood"
"120","0","sunken","brown","no bruises","close","black","enlarging","white","solitary","urban"
"121","1","convex","white","bruises","close","black","enlarging","white","several","grasses"
"122","0","convex","white","bruises","close","grey","enlarging","white","numerous","meadows"
"123","1","flat","brown","bruises","close","pink","enlarging","white","several","grasses"
"124","0","flat","grey","no bruises","crowded","black","tapering","white","abundant","grasses"
"125","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"126","0","convex","white","no bruises","crowded","brown","tapering","white","scattered","grasses"
"127","0","bell","yellow","bruises","close","white","enlarging","white","numerous","grasses"
"128","0","flat","grey","no bruises","crowded","chocolate","tapering","white","abundant","grasses"
"129","0","convex","white","bruises","close","brown","enlarging","white","numerous","grasses"
"130","0","bell","white","bruises","close","brown","enlarging","white","scattered","meadows"
"131","0","bell","white","bruises","close","white","enlarging","white","scattered","grasses"
"132","0","bell","white","bruises","close","white","enlarging","white","scattered","meadows"
"133","0","flat","white","bruises","crowded","white","tapering","white","several","wood"
"134","0","convex","yellow","bruises","close","grey","enlarging","white","scattered","meadows"
"135","0","flat","white","bruises","crowded","pink","tapering","white","several","wood"
"136","1","convex","white","bruises","close","white","enlarging","white","several","urban"
"137","0","flat","white","bruises","crowded","white","tapering","white","several","wood"
"138","0","convex","yellow","bruises","close","brown","enlarging","white","scattered","grasses"
"139","1","convex","brown","bruises","close","pink","enlarging","white","several","grasses"
"140","0","bell","yellow","bruises","close","white","enlarging","white","numerous","grasses"
"141","0","convex","brown","bruises","close","white","enlarging","white","solitary","paths"
"142","0","bell","yellow","bruises","close","grey","enlarging","white","numerous","meadows"
"143","0","sunken","brown","no bruises","close","black","enlarging","white","several","urban"
"144","0","flat","brown","bruises","close","white","enlarging","white","solitary","paths"
"145","0","convex","yellow","bruises","close","black","enlarging","white","numerous","grasses"
"146","0","convex","grey","no bruises","crowded","black","tapering","white","scattered","grasses"
"147","0","flat","white","no bruises","crowded","black","tapering","white","abundant","grasses"
"148","0","convex","yellow","bruises","close","white","enlarging","white","numerous","meadows"
"149","0","bell","yellow","bruises","close","black","enlarging","white","numerous","grasses"
"150","0","bell","white","bruises","close","grey","enlarging","white","numerous","meadows"
"151","0","convex","white","bruises","close","white","enlarging","white","scattered","grasses"
"152","0","convex","brown","no bruises","crowded","pink","tapering","white","abundant","grasses"
"153","0","convex","white","bruises","close","grey","enlarging","white","scattered","grasses"
"154","0","sunken","brown","no bruises","close","black","enlarging","white","several","urban"
"155","0","convex","white","bruises","crowded","white","tapering","white","several","wood"
"156","0","convex","brown","bruises","close","white","enlarging","white","scattered","grasses"
"157","0","bell","yellow","bruises","close","black","enlarging","white","numerous","grasses"
